#faceId	imagePath	faceRect.x	faceRect.y	faceRect.w	faceRect.h
39550	flickr/3/image01841.jpg	252	120	104	104
39551	flickr/3/image01842.jpg	154	206	128	128
39552	flickr/3/image01845.jpg	151	169	120	120
39553	flickr/3/image01847.jpg	1117	968	1561	1561
39554	flickr/3/image01850.jpg	123	153	246	246
39555	flickr/3/image01851.jpg	231	104	225	225
39556	flickr/3/image01857.jpg	-9	-33	358	358
39557	flickr/3/image01870.jpg	265	186	261	261
39558	flickr/3/image01878.jpg	373	588	189	189
39559	flickr/3/image01879.jpg	540	184	289	289
39560	flickr/3/image01885.jpg	54	57	229	229
39561	flickr/3/image01892.jpg	573	140	130	130
39562	flickr/3/image01900.jpg	425	417	200	200
39563	flickr/3/image01916.jpg	950	457	962	962
39564	flickr/3/image01927.jpg	573	287	523	523
39566	flickr/3/image01938.jpg	162	733	852	852
39567	flickr/3/image01941.jpg	216	194	609	609
39568	flickr/3/image01944.jpg	173	51	228	228
39569	flickr/3/image01947.jpg	114	77	58	58
39570	flickr/3/image01950.jpg	188	86	89	89
39571	flickr/3/image01985.jpg	58	234	572	572
39572	flickr/3/image01986.jpg	311	28	214	214
39573	flickr/3/image01989.jpg	239	120	114	114
39574	flickr/3/image02013.jpg	79	139	229	229
39575	flickr/3/image02016.jpg	255	45	52	52
39576	flickr/3/image02032.jpg	114	20	358	358
39578	flickr/3/image02038.jpg	205	72	490	490
39579	flickr/3/image02045.jpg	219	-18	346	346
39580	flickr/3/image02046.jpg	178	44	153	153
39581	flickr/3/image02050.jpg	155	87	185	185
39582	flickr/3/image02061.jpg	127	127	141	141
39583	flickr/3/image02100.jpg	167	124	185	185
39584	flickr/3/image02114.jpg	174	102	166	166
39585	flickr/3/image02116.jpg	149	87	144	144
39586	flickr/3/image02125.jpg	-21	75	368	368
39587	flickr/3/image02137.jpg	437	250	1086	1086
39588	flickr/3/image02191.jpg	835	462	523	523
39589	flickr/3/image02209.jpg	163	160	127	127
39590	flickr/3/image02209.jpg	351	237	66	66
39591	flickr/3/image02211.jpg	230	113	149	149
39592	flickr/3/image02212.jpg	230	192	307	307
39593	flickr/3/image02236.jpg	204	157	152	152
39594	flickr/3/image02242.jpg	134	74	152	152
39595	flickr/3/image02243.jpg	228	36	136	136
39596	flickr/3/image02246.jpg	116	51	127	127
39597	flickr/3/image02247.jpg	172	89	191	191
39598	flickr/3/image02249.jpg	137	159	172	172
39599	flickr/3/image02261.jpg	207	456	1830	1830
39600	flickr/3/image02272.jpg	227	79	129	129
39601	flickr/3/image02286.jpg	-4	18	1331	1331
39602	flickr/3/image02289.jpg	81	131	206	206
39603	flickr/3/image02290.jpg	1126	823	1224	1224
39604	flickr/3/image02295.jpg	211	206	179	179
39606	flickr/3/image02302.jpg	363	-13	440	440
39607	flickr/3/image02317.jpg	98	81	131	131
39609	flickr/3/image02319.jpg	60	132	204	204
39610	flickr/3/image02389.jpg	397	42	176	176
39611	flickr/3/image02428.jpg	256	86	354	354
39612	flickr/3/image02432.jpg	464	333	1336	1336
39613	flickr/3/image02448.jpg	27	117	317	317
39614	flickr/3/image02448.jpg	132	123	356	356
39615	flickr/3/image02449.jpg	101	57	225	225
39616	flickr/3/image02458.jpg	78	60	152	152
39617	flickr/3/image02513.jpg	331	-5	170	170
39618	flickr/3/image02514.jpg	928	1043	1500	1500
39619	flickr/3/image02529.jpg	116	3	243	243
39620	flickr/3/image02531.jpg	40	18	291	291
39621	flickr/3/image02547.jpg	80	42	293	293
39622	flickr/3/image02556.jpg	145	44	307	307
39624	flickr/3/image02595.jpg	107	132	186	186
39625	flickr/3/image02602.jpg	179	57	192	192
39626	flickr/3/image02621.jpg	788	463	1117	1117
39628	flickr/3/image02622.jpg	-5	-29	342	342
39629	flickr/3/image02629.jpg	446	323	2639	2639
39630	flickr/3/image02635.jpg	17	111	277	277
39631	flickr/3/image02645.jpg	284	419	532	532
39632	flickr/3/image02659.jpg	41	0	255	255
39633	flickr/3/image02674.jpg	224	99	190	190
39634	flickr/3/image02720.jpg	126	76	146	146
39635	flickr/3/image02745.jpg	1292	890	1196	1196
39636	flickr/3/image02750.jpg	54	51	363	363
39637	flickr/3/image02752.jpg	57	87	283	283
39638	flickr/3/image02773.jpg	843	163	1216	1216
39639	flickr/3/image02775.jpg	1721	833	1343	1343
39640	flickr/3/image02803.jpg	233	129	258	258
39641	flickr/3/image02804.jpg	43	143	149	149
39642	flickr/3/image02810.jpg	198	55	220	220
39643	flickr/3/image02811.jpg	67	67	187	187
39644	flickr/3/image02812.jpg	384	148	382	382
39645	flickr/3/image02817.jpg	440	219	697	697
39646	flickr/3/image02866.jpg	222	133	276	276
39647	flickr/3/image02884.jpg	474	408	1873	1873
39648	flickr/3/image02891.jpg	104	109	177	177
39649	flickr/3/image02902.jpg	5	206	306	306
39650	flickr/3/image02936.jpg	59	140	159	159
39651	flickr/3/image02941.jpg	444	216	540	540
39652	flickr/3/image02959.jpg	906	169	793	793
39653	flickr/3/image02980.jpg	209	65	151	151
39654	flickr/3/image02992.jpg	472	447	928	928
39655	flickr/3/image02995.jpg	1052	465	857	857
39656	flickr/3/image03008.jpg	93	63	123	123
39657	flickr/3/image03016.jpg	279	244	284	284
39658	flickr/3/image03024.jpg	438	-45	1070	1070
39659	flickr/3/image03028.jpg	666	369	728	728
39660	flickr/3/image03040.jpg	659	1649	1612	1612
39661	flickr/3/image03044.jpg	190	35	249	249
39662	flickr/3/image03050.jpg	-10	104	370	370
39663	flickr/3/image03086.jpg	278	40	116	116
39664	flickr/3/image03102.jpg	77	204	500	500
39665	flickr/3/image03149.jpg	1383	383	2584	2584
39666	flickr/3/image03161.jpg	550	245	285	285
39667	flickr/3/image03173.jpg	-46	86	237	237
39668	flickr/3/image03173.jpg	377	112	233	233
39669	flickr/3/image03173.jpg	837	72	241	241
39670	flickr/3/image03179.jpg	114	192	786	786
39671	flickr/3/image03189.jpg	152	52	341	341
39672	flickr/3/image03194.jpg	262	102	157	157
39673	flickr/3/image03196.jpg	31	103	362	362
39674	flickr/3/image03227.jpg	111	105	186	186
39675	flickr/3/image03249.jpg	201	121	216	216
39676	flickr/3/image03255.jpg	115	155	115	115
39677	flickr/3/image03273.jpg	144	74	208	208
39678	flickr/3/image03282.jpg	119	274	334	334
39679	flickr/3/image03283.jpg	336	304	450	450
39680	flickr/3/image03286.jpg	-36	315	416	416
39681	flickr/3/image03350.jpg	294	52	84	84
39682	flickr/3/image03373.jpg	155	94	85	85
39683	flickr/3/image03452.jpg	78	97	219	219
39684	flickr/3/image03453.jpg	84	128	207	207
39685	flickr/3/image03455.jpg	143	123	106	106
39686	flickr/3/image03457.jpg	126	131	84	84
39687	flickr/3/image03465.jpg	138	139	88	88
39688	flickr/3/image03472.jpg	151	77	62	62
39689	flickr/3/image03475.jpg	84	89	94	94
39690	flickr/3/image03498.jpg	109	106	61	61
39691	flickr/3/image03505.jpg	205	126	96	96
39692	flickr/3/image03516.jpg	776	306	545	545
39693	flickr/3/image03541.jpg	229	271	144	144
39694	flickr/3/image03542.jpg	263	70	114	114
39695	flickr/3/image03550.jpg	225	113	87	87
39696	flickr/3/image03562.jpg	218	106	245	245
39697	flickr/3/image03562.jpg	282	291	229	229
39698	flickr/3/image03566.jpg	86	86	122	122
39699	flickr/3/image03567.jpg	213	153	255	255
39700	flickr/3/image03574.jpg	365	139	184	184
39701	flickr/3/image03585.jpg	228	198	337	337
39702	flickr/3/image03597.jpg	199	199	530	530
39703	flickr/3/image03629.jpg	100	158	145	145
39704	flickr/3/image03640.jpg	123	176	120	120
39705	flickr/3/image03647.jpg	101	186	110	110
39706	flickr/3/image03657.jpg	514	278	449	449
39707	flickr/3/image03664.jpg	128	83	231	231
39708	flickr/3/image03668.jpg	310	221	120	120
39709	flickr/3/image03671.jpg	137	90	108	108
39710	flickr/3/image03674.jpg	170	92	115	115
39711	flickr/3/image03676.jpg	433	112	337	337
39712	flickr/3/image03677.jpg	161	68	71	71
39713	flickr/3/image03686.jpg	198	189	166	166
39714	flickr/3/image03713.jpg	203	348	132	132
39715	flickr/3/image03721.jpg	142	160	116	116
39717	flickr/3/image03728.jpg	189	134	155	155
39718	flickr/3/image03775.jpg	265	65	80	80
39719	flickr/3/image03786.jpg	2902	910	823	823
39720	flickr/3/image03807.jpg	447	115	140	140
39721	flickr/3/image03823.jpg	334	140	224	224
39722	flickr/3/image03860.jpg	57	98	188	188
39723	flickr/3/image03869.jpg	392	21	631	631
39724	flickr/3/image03872.jpg	396	77	551	551
39725	flickr/3/image03873.jpg	86	130	378	378
39726	flickr/3/image03885.jpg	250	98	161	161
39727	flickr/3/image03886.jpg	12	89	190	190
39728	flickr/3/image03894.jpg	125	69	297	297
39729	flickr/3/image03902.jpg	1	100	352	352
39730	flickr/3/image03908.jpg	138	372	208	208
39731	flickr/3/image03908.jpg	393	118	219	219
39732	flickr/3/image03928.jpg	94	159	190	190
39734	flickr/3/image03943.jpg	1253	689	1144	1144
39735	flickr/3/image03965.jpg	244	49	150	150
39736	flickr/3/image03968.jpg	980	444	1209	1209
39737	flickr/3/image03996.jpg	110	140	161	161
39738	flickr/3/image03996.jpg	226	135	165	165
39739	flickr/3/image04012.jpg	215	154	244	244
39740	flickr/3/image04016.jpg	145	73	188	188
39741	flickr/3/image04018.jpg	125	29	510	510
39742	flickr/3/image04024.jpg	216	-15	522	522
39743	flickr/3/image04027.jpg	64	258	497	497
39744	flickr/3/image04059.jpg	171	44	329	329
39745	flickr/3/image04096.jpg	802	672	935	935
39746	flickr/3/image04105.jpg	219	109	109	109
39747	flickr/3/image04129.jpg	-46	75	430	430
39748	flickr/3/image04147.jpg	100	87	103	103
39749	flickr/3/image04168.jpg	305	93	221	221
39750	flickr/3/image04172.jpg	265	185	190	190
39751	flickr/3/image04188.jpg	250	83	627	627
39753	flickr/3/image04243.jpg	39	124	202	202
39755	flickr/3/image04269.jpg	870	1073	1007	1007
39756	flickr/3/image04275.jpg	428	260	252	252
39757	flickr/3/image04294.jpg	111	63	168	168
39758	flickr/3/image04296.jpg	138	181	180	180
39759	flickr/3/image04307.jpg	98	121	176	176
39760	flickr/3/image04310.jpg	446	549	1172	1172
39761	flickr/3/image04316.jpg	40	73	249	249
39762	flickr/3/image04332.jpg	368	120	541	541
39763	flickr/3/image04114.jpg	579	381	606	606
39764	flickr/3/image04126.jpg	239	65	55	55
39765	flickr/3/image04153.jpg	160	100	133	133
39766	flickr/3/image04157.jpg	167	-3	529	529
39767	flickr/3/image04171.jpg	232	208	73	73
39768	flickr/3/image04216.jpg	211	155	117	117
39769	flickr/3/image04241.jpg	359	290	554	554
39770	flickr/3/image04257.jpg	89	69	207	207
39771	flickr/3/image04324.jpg	71	15	161	161
39772	flickr/3/image04337.jpg	91	83	278	278
39773	flickr/3/image04348.jpg	140	71	56	56
39774	flickr/3/image04348.jpg	397	74	51	51
39775	flickr/3/image04355.jpg	181	180	274	274
39776	flickr/3/image04363.jpg	67	102	192	192
39779	flickr/3/image04365.jpg	3	133	297	297
39780	flickr/3/image04388.jpg	31	447	303	303
39781	flickr/3/image04392.jpg	338	325	299	299
39782	flickr/3/image04392.jpg	468	361	273	273
39783	flickr/3/image04395.jpg	72	249	178	178
39784	flickr/3/image04397.jpg	44	81	235	235
39785	flickr/3/image04398.jpg	109	94	218	218
39786	flickr/3/image04403.jpg	432	321	230	230
39787	flickr/3/image04416.jpg	1252	452	1220	1220
39788	flickr/3/image04420.jpg	1034	963	465	465
39789	flickr/3/image04421.jpg	310	266	285	285
39790	flickr/3/image04425.jpg	137	85	137	137
39791	flickr/3/image04428.jpg	18	310	473	473
39792	flickr/3/image04429.jpg	195	39	293	293
39793	flickr/3/image04431.jpg	140	168	139	139
39794	flickr/3/image04440.jpg	159	124	177	177
39795	flickr/3/image04447.jpg	17	562	1494	1494
39796	flickr/3/image04448.jpg	220	181	243	243
39797	flickr/3/image04473.jpg	122	-7	300	300
39798	flickr/3/image04506.jpg	467	157	340	340
39799	flickr/3/image04511.jpg	147	64	240	240
39800	flickr/3/image04567.jpg	213	79	145	145
39801	flickr/3/image04573.jpg	291	254	513	513
39802	flickr/3/image04581.jpg	83	56	250	250
39803	flickr/3/image04594.jpg	292	230	123	123
39804	flickr/3/image04619.jpg	462	23	202	202
39805	flickr/3/image04622.jpg	55	30	107	107
39806	flickr/3/image04622.jpg	135	18	105	105
39807	flickr/3/image04622.jpg	254	27	106	106
39808	flickr/3/image04622.jpg	358	25	112	112
39809	flickr/3/image04629.jpg	87	154	185	185
39810	flickr/3/image04632.jpg	43	18	352	352
39811	flickr/3/image04640.jpg	134	56	728	728
39812	flickr/3/image04642.jpg	229	161	82	82
39813	flickr/3/image04647.jpg	118	86	87	87
39814	flickr/3/image04660.jpg	69	58	137	137
39815	flickr/3/image04660.jpg	169	54	133	133
39816	flickr/3/image04669.jpg	53	79	105	105
39817	flickr/3/image04669.jpg	131	68	104	104
39818	flickr/3/image04669.jpg	247	75	109	109
39819	flickr/3/image04669.jpg	352	73	113	113
39820	flickr/3/image04671.jpg	1267	496	687	687
39821	flickr/3/image04671.jpg	2102	997	744	744
39822	flickr/3/image04673.jpg	89	102	189	189
39823	flickr/3/image04681.jpg	174	77	81	81
39824	flickr/3/image04685.jpg	152	42	79	79
39825	flickr/3/image04697.jpg	227	152	228	228
39826	flickr/3/image04699.jpg	213	125	276	276
39827	flickr/3/image04750.jpg	298	509	1120	1120
39828	flickr/3/image04754.jpg	385	277	1035	1035
39829	flickr/3/image04786.jpg	101	61	84	84
39830	flickr/3/image04798.jpg	181	59	160	160
39831	flickr/3/image04810.jpg	126	150	74	74
39832	flickr/3/image04810.jpg	204	160	64	64
39833	flickr/3/image04810.jpg	234	92	82	82
39835	flickr/3/image04829.jpg	244	118	53	53
39837	flickr/3/image04854.jpg	152	118	78	78
39838	flickr/3/image04876.jpg	100	110	147	147
39839	flickr/3/image04881.jpg	114	151	113	113
39840	flickr/3/image04892.jpg	140	110	68	68
39841	flickr/3/image04908.jpg	162	200	83	83
39842	flickr/3/image04910.jpg	149	148	89	89
39843	flickr/3/image04911.jpg	136	144	81	81
39844	flickr/3/image04924.jpg	138	143	81	81
39845	flickr/3/image04932.jpg	219	99	73	73
39846	flickr/3/image04936.jpg	54	118	235	235
39847	flickr/3/image04940.jpg	133	137	74	74
39848	flickr/3/image04946.jpg	173	159	119	119
39849	flickr/3/image04950.jpg	151	131	58	58
39850	flickr/3/image04954.jpg	182	156	61	61
39851	flickr/3/image04965.jpg	83	70	133	133
39852	flickr/3/image04966.jpg	928	301	926	926
39853	flickr/3/image04989.jpg	275	247	76	76
39854	flickr/3/image04990.jpg	282	104	206	206
39855	flickr/3/image05006.jpg	715	862	1182	1182
39856	flickr/3/image05008.jpg	115	143	221	221
39857	flickr/3/image05028.jpg	174	19	286	286
39858	flickr/3/image05035.jpg	162	140	336	336
39859	flickr/3/image05038.jpg	78	29	121	121
39860	flickr/3/image05045.jpg	125	84	259	259
39861	flickr/3/image05114.jpg	216	108	415	415
39862	flickr/3/image05116.jpg	173	77	192	192
39863	flickr/3/image05130.jpg	237	84	163	163
39864	flickr/3/image05145.jpg	329	318	742	742
39865	flickr/3/image05164.jpg	201	70	269	269
39866	flickr/3/image05189.jpg	281	145	237	237
39867	flickr/3/image05200.jpg	294	223	187	187
39868	flickr/3/image05200.jpg	604	312	95	95
39869	flickr/3/image05201.jpg	281	126	399	399
39870	flickr/3/image05207.jpg	302	19	613	613
39871	flickr/3/image05225.jpg	97	115	200	200
39872	flickr/3/image05232.jpg	-2	48	302	302
39873	flickr/3/image05259.jpg	183	410	1079	1079
39874	flickr/3/image05279.jpg	825	263	463	463
39875	flickr/3/image05282.jpg	58	98	190	190
39876	flickr/3/image05299.jpg	123	84	83	83
39877	flickr/3/image05307.jpg	1049	1079	1245	1245
39878	flickr/3/image05310.jpg	35	59	372	372
39879	flickr/3/image05348.jpg	109	86	110	110
39880	flickr/3/image05361.jpg	161	62	144	144
39881	flickr/3/image05363.jpg	1419	520	1843	1843
39882	flickr/3/image05367.jpg	36	100	409	409
39883	flickr/3/image05369.jpg	78	128	218	218
39884	flickr/3/image05378.jpg	791	338	1403	1403
39885	flickr/3/image05393.jpg	-188	299	1523	1523
39886	flickr/3/image05398.jpg	143	50	264	264
39887	flickr/3/image05419.jpg	104	141	190	190
39888	flickr/3/image05420.jpg	69	91	205	205
39889	flickr/3/image05442.jpg	56	65	257	257
39891	flickr/3/image05507.jpg	116	223	128	128
39892	flickr/3/image05510.jpg	306	78	147	147
39893	flickr/3/image05542.jpg	236	292	1110	1110
39894	flickr/3/image05543.jpg	472	112	211	211
39895	flickr/3/image05550.jpg	263	88	98	98
39896	flickr/3/image05561.jpg	200	213	2095	2095
39897	flickr/3/image05577.jpg	616	800	1313	1313
39898	flickr/3/image05592.jpg	486	287	1372	1372
39899	flickr/3/image05603.jpg	129	171	442	442
39900	flickr/3/image05615.jpg	281	19	561	561
39901	flickr/3/image05619.jpg	56	179	807	807
39902	flickr/3/image05624.jpg	133	29	182	182
39903	flickr/3/image05634.jpg	4	-39	340	340
39904	flickr/3/image05650.jpg	118	96	90	90
39905	flickr/3/image05657.jpg	741	270	521	521
39906	flickr/3/image05663.jpg	213	190	98	98
39907	flickr/3/image05666.jpg	630	232	1406	1406
39908	flickr/3/image05681.jpg	99	168	69	69
39909	flickr/3/image05683.jpg	501	306	716	716
39910	flickr/3/image05689.jpg	430	188	366	366
39911	flickr/3/image05691.jpg	112	67	201	201
39912	flickr/3/image05710.jpg	56	111	344	344
39913	flickr/3/image05716.jpg	1858	534	1074	1074
39914	flickr/3/image05719.jpg	205	28	301	301
39915	flickr/3/image05733.jpg	53	170	242	242
39916	flickr/3/image05752.jpg	644	451	809	809
39917	flickr/3/image05813.jpg	1360	691	705	705
39918	flickr/3/image05819.jpg	104	212	104	104
39919	flickr/3/image05820.jpg	98	6	234	234
39920	flickr/3/image05831.jpg	166	117	194	194
39921	flickr/3/image05836.jpg	405	95	401	401
39922	flickr/3/image05852.jpg	58	153	540	540
39923	flickr/3/image05856.jpg	194	100	120	120
39924	flickr/3/image05862.jpg	283	148	142	142
39925	flickr/3/image05863.jpg	511	334	524	524
39926	flickr/3/image05871.jpg	456	94	294	294
